videoName,imageName,indID,viewType,bodySection,analyst,percentSloughing,Comments,LinearScars,Defecating
Gal2023_DJIMini2_20230201_082347.MP4,Gal2023_DJIMini2_20230201_082347_71.905.png,,aerial,Dorsal,CClarke,0-20%,,no,N/A
Gal2023_DJIMini2_20230201_082347.MP4,Gal2023_DJIMini2_20230201_082347_70.png,,aerial,Head,CClarke,0-20%,uncertain if it is crisp enough to tell,no,N/A
Gal2023_DJIMini2_20230201_082347.MP4,Gal2023_DJIMini2_20230201_082347_79.png,,aerial,Fluke,CClarke,0-20%,almost seems clearer in the 'body' photo,no,yes
Gal2023_DJIMini2_20230201_091905.MP4,Gal2023_DJIMini2_20230201_091905_111.png,,aerial,Dorsal,CClarke,0%,,no,N/A
Gal2023_DJIMini2_20230201_091905.MP4,Gal2023_DJIMini2_20230201_091905_232.png,,aerial,Head,CClarke,0%,uncertain if it is crisp enough to tell,no,N/A
Gal2023_DJIMini2_20230201_091905.MP4,Gal2023_DJIMini2_20230201_091905_397.png,,aerial,Fluke,CClarke,0%,,no,unk
Gal2023_DJIMini2_20230201_111757.MP4,Gal2023_DJIMini2_20230201_111757.9.png,,aerial,Head,CClarke,0%,,yes,N/A
Gal2023_DJIMini2_20230201_111757.MP4,Gal2023_DJIMini2_20230201_111757.140.png,,aerial,Dorsal,CClarke,0%,,yes,N/A
Gal2023_DJIMini2_20230201_111757.MP4,Gal2023_DJIMini2_20230201_111757.144.png,,aerial,Fluke,CClarke,0%,,no,yes
Gal2023_DJIMini2_20230201_120856.MP4,Gal2023_DJIMini2_20230201_120856.44.png,,aerial,Dorsal,CClarke,0%,same whale as previous video; crisper,yes,N/A
Gal2023_DJIMini2_20230201_120856.MP4,Gal2023_DJIMini2_20230201_120856.131.png,,aerial,Head,CClarke,0%,,yes,N/A
Gal2023_DJIMini2_20230201_120856.MP4,Gal2023_DJIMini2_20230201_120856.156.png,,aerial,Fluke,CClarke,0%,,no,unk
Gal2023_DJIMini2_20230201_130107.MP4,Gal2023_DJIMini2_20230201_130107_174.541.png,GAL2023_001,aerial,Dorsal,CClarke,0-20%,,no,N/A
Gal2023_DJIMini2_20230201_130107.MP4,Gal2023_DJIMini2_20230201_130107_355.png,GAL2023_001,aerial,Head,CClarke,0-20%,if I didn't know the sloughing was there from the previous photo I think I would have missed it,no,N/A
Gal2023_DJIMini2_20230201_130107.MP4,Gal2023_DJIMini2_20230201_130107_410.png,GAL2023_001,aerial,Peduncle,CClarke,0-20%,,no,N/A
Gal2023_DJIMini2_20230201_130107.MP4,Gal2023_DJIMini2_20230201_130107_429.png,GAL2023_001,aerial,Fluke,CClarke,0%,,no,yes
Gal2023_DJIMini2_20230201_182219.MP4,Gal2023_DJIMini2_20230201_182219_90.png,GAL2023_002,aerial,Dorsal,CClarke,0%,,no,N/A
Gal2023_DJIMini2_20230201_182219.MP4,Gal2023_DJIMini2_20230201_182219_434.png,GAL2023_002,aerial,Head,CClarke,0%,,no,N/A
Gal2023_DJIMini2_20230201_182219.MP4,Gal2023_DJIMini2_20230201_182219_442.png,GAL2023_002,aerial,Fluke,CClarke,0%,,no,unk
Gal2023_DJIMini2_20230208_084058.MP4,Gal2023_DJIMini2_20230208_084058.422.png,GAL2023_003,aerial,Head,CClarke,unk,hard to be sure what that pale patch near head-body is,yes,N/A
Gal2023_DJIMini2_20230208_084058.MP4,Gal2023_DJIMini2_20230208_084058.422.png,GAL2023_003,aerial,Dorsal,CClarke,unk,hard to be sure what that fleck is,tentative,N/A
Gal2023_DJIMini2_20230208_084058.MP4,Gal2023_DJIMini2_20230208_084058.460.png,GAL2023_003,aerial,Peduncle,CClarke,0%,,no,N/A
Gal2023_DJIMini2_20230208_084058.MP4,Gal2023_DJIMini2_20230208_084058.460.png,GAL2023_003,aerial,Fluke,CClarke,0%,angle doesn't seem ideal but maybe usable?,no,unk
Gal2023_DJIMini2_20230215_093319.MP4,Gal2023_DJIMini2_20230215_093319.141.png,GAL2023_009,aerial,Dorsal,CClarke,0-20%,,no,N/A
Gal2023_DJIMini2_20230215_093319.MP4,Gal2023_DJIMini2_20230215_093319.157.png,GAL2023_009,aerial,Head,CClarke,0-20%,,tentative,N/A
Gal2023_DJIMini2_20230215_093319.MP4,Gal2023_DJIMini2_20230215_093319.238.png,GAL2023_009,aerial,Fluke,CClarke,0%,whole fluke looks strangely pale - but maybe just the lighting?,tentative,unk
Gal2023_DJIMini2_20230215_094557.MP4,Gal2023_DJIMini2_20230215_094557_249.516.png,GAL2023_011,aerial,Head,CClarke,,,,
Gal2023_DJIMini2_20230215_094557.MP4,Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005,GAL2023_011,aerial,Dorsal,CClarke,,,,
Gal2023_DJIMini2_20230215_094557.MP4,Gal2023_DJIMini2_20230215_094557_420.png,GAL2023_011,aerial,Fluke,CClarke,,,,
Gal2023_DJIMini2_20230215_101509.MP4,Gal2023_DJIMini2_20230215_101509.MP4_00_06_40_vlc00001,GAL2023_010,aerial,Head,CClarke,0-20%,,tentative,N/A
Gal2023_DJIMini2_20230215_101509.MP4,Gal2023_DJIMini2_20230215_101509.378.png,GAL2023_010,aerial,Dorsal,CClarke,0%,"maybe small amount by dorsal fin, but don't think so",no,N/A
Gal2023_DJIMini2_20230215_101509.MP4,Gal2023_DJIMini2_20230215_101509.378.png,GAL2023_010,aerial,Fluke,CClarke,unk,would not assess from this photo - is the wrong photo listed?,unk,unk
